channel_name,date,cost,ihc,ihc_revenue,CPO,ROAS
Affiliate & Partnerships,2023-08-29,11.795,0.0,0.0,,0.0
Affiliate & Partnerships,2023-08-30,3.756,0.0,0.0,,0.0
Affiliate & Partnerships,2023-08-31,5.4639999999999995,0.0,0.0,,0.0
Affiliate & Partnerships,2023-09-01,24.72,8.7791,433.577444,2.81577838274994,17.539540614886732
Affiliate & Partnerships,2023-09-02,38.571,2.9956,122.00659399999999,12.875884630791827,3.163169064841461
Affiliate & Partnerships,2023-09-03,12.148,4.6404,186.27350900000002,2.617877769157831,15.333677066183736
Affiliate & Partnerships,2023-09-04,21.41,6.5574,345.33914699999997,3.2650135724524962,16.129806025221857
Affiliate & Partnerships,2023-09-05,7.337,4.9955,225.088212,1.4687218496646983,30.678507836990597
Affiliate & Partnerships,2023-09-06,10.554,5.1126,209.002284,2.0643117005046356,19.80313473564525
Affiliate & Partnerships,2023-09-07,11.852,6.3475,349.082745,1.8671918077983458,29.45348844076949
Direct Traffic,2023-08-29,0.0,0.0,0.0,,
Direct Traffic,2023-08-30,0.0,0.0,0.0,,
Direct Traffic,2023-08-31,0.0,0.0,0.0,,
Direct Traffic,2023-09-01,0.0,76.2081,4739.709048,0.0,
Direct Traffic,2023-09-02,0.0,62.9968,5093.502306,0.0,
Direct Traffic,2023-09-03,0.0,83.5928,5161.335604,0.0,
Direct Traffic,2023-09-04,0.0,106.3702,8217.500142,0.0,
Direct Traffic,2023-09-05,0.084,43.4048,3330.89469,0.0019352698319079918,39653.50821428571
Direct Traffic,2023-09-06,0.0,39.4389,2286.038367,0.0,
Direct Traffic,2023-09-07,0.0,40.8413,2458.968872,0.0,
FB & IG Ads,2023-08-29,13.248,0.0,0.0,,0.0
FB & IG Ads,2023-08-30,3.349,0.0,0.0,,0.0
FB & IG Ads,2023-08-31,16.56,0.0,0.0,,0.0
FB & IG Ads,2023-09-01,77.464,26.0,866.5699999999999,2.9793846153846153,11.186744810492616
FB & IG Ads,2023-09-02,92.053,26.0444,1252.327481,3.5344642226351923,13.604417900557289
FB & IG Ads,2023-09-03,102.781,28.4666,1185.407177,3.6105822261878835,11.533329866414999
FB & IG Ads,2023-09-04,75.16,21.4347,642.762511,3.5064638180147143,8.551922711548697
FB & IG Ads,2023-09-05,49.298,14.5798,271.83806,3.3812535151373817,5.514180291289707
FB & IG Ads,2023-09-06,71.837,21.8879,822.516207,3.2820416759944995,11.449757186408117
FB & IG Ads,2023-09-07,51.304,17.0083,394.91915,3.016409635295709,7.697628839856542
Microsoft Ads,2023-08-31,0.065,0.3778,8.568504,0.17204870301746955,131.82313846153846
Microsoft Ads,2023-09-02,4.9110000000000005,6.4862,511.697184,0.757145940612377,104.19409163103236
Microsoft Ads,2023-09-03,0.517,1.0,118.33,0.517,228.87814313346226
Microsoft Ads,2023-09-04,3.182,4.3222000000000005,338.765509,0.736199157836287,106.46307636706474
